item_id,timestamp,target,band_700,band_800,band_1800,band_2100,band_2600,band_3500,traffic_ref_2023_mbps
T36870A,2020-03-30,3.842438472,0,1,1,0,0,0,15.444746107206669
T36870A,2020-04-06,3.930671778,0,1,1,0,0,0,15.444746107206669
T36870A,2020-04-13,4.55888218,0,1,1,0,0,0,15.444746107206669
T36870A,2020-04-20,5.243806175,0,1,1,0,0,0,15.444746107206669
T36870A,2020-04-27,4.897042896,0,1,1,0,0,0,15.444746107206669
T36870A,2020-05-04,5.614549955,0,1,1,0,0,0,15.444746107206669
T36870A,2020-05-11,5.772399677,0,1,1,0,0,0,15.444746107206669
T36870A,2020-05-18,5.565027637,0,1,1,0,0,0,15.444746107206669
T36870A,2020-05-25,4.407343101,0,1,1,0,0,0,15.444746107206669
T36870A,2020-06-01,5.36901052,0,1,1,0,0,0,15.444746107206669
T36870A,2020-06-08,5.748100457,0,1,1,0,0,0,15.444746107206669
T36870A,2020-06-15,4.97716275,0,1,1,0,0,0,15.444746107206669
T36870A,2020-06-22,4.080644092,0,1,1,0,0,0,15.444746107206669
T36870A,2020-06-29,4.462616805,0,1,1,0,0,0,15.444746107206669
T36870A,2020-07-06,4.928415507,0,1,1,0,0,0,15.444746107206669
T36870A,2020-07-13,4.430197051,0,1,1,0,0,0,15.444746107206669
T36870A,2020-07-20,4.763424087,0,1,1,0,0,0,15.444746107206669
T36870A,2020-07-27,4.260758202,0,1,1,0,0,0,15.444746107206669
T36870A,2020-08-03,7.446629033,0,1,1,0,0,0,15.444746107206669
T36870A,2020-08-10,6.728231739,0,1,1,0,0,0,15.444746107206669
T36870A,2020-08-17,5.125586211,0,1,1,0,0,0,15.444746107206669
T36870A,2020-08-24,5.001024412,0,1,1,0,0,0,15.444746107206669
T36870A,2020-08-31,4.085746156,0,1,1,0,0,0,15.444746107206669
T36870A,2020-09-07,5.066663102,0,1,1,0,0,0,15.444746107206669
T36870A,2020-09-14,5.177627229,0,1,1,0,0,0,15.444746107206669
T36870A,2020-09-21,7.437361314,0,1,1,0,0,0,15.444746107206669
T36870A,2020-09-28,8.946178717,0,1,1,0,0,0,15.444746107206669
T36870A,2020-10-05,4.108616996,0,1,1,0,0,0,15.444746107206669
T36870A,2020-10-12,0.256658433,0,1,1,0,0,0,15.444746107206669
T36870A,2020-10-19,0.570959633,0,1,1,0,0,0,15.444746107206669
T36870A,2020-10-26,0.16160853,0,1,1,0,0,0,15.444746107206669
T36870A,2020-11-02,4.742685841,0,1,1,0,0,0,15.444746107206669
T36870A,2020-11-09,12.35892292,0,1,1,0,0,0,15.444746107206669
T36870A,2020-11-16,12.97771156,0,1,1,0,0,0,15.444746107206669
T36870A,2020-11-23,11.50805019,0,1,1,0,0,0,15.444746107206669
T36870A,2020-11-30,12.64802347,0,1,1,0,0,0,15.444746107206669
T36870A,2020-12-07,13.831597,0,1,1,0,0,0,15.444746107206669
T36870A,2020-12-14,11.69879788,0,1,1,0,0,0,15.444746107206669
T36870A,2020-12-21,13.75448094,0,1,1,0,0,0,15.444746107206669
T36870A,2020-12-28,10.80890695,0,1,1,0,0,0,15.444746107206669
T36870A,2021-01-04,9.928231918,0,1,1,0,0,0,15.444746107206669
T36870A,2021-01-11,13.6844064,0,1,1,0,0,0,15.444746107206669
T36870A,2021-01-18,12.89203284,0,1,1,0,0,0,15.444746107206669
T36870A,2021-01-25,16.59509479,0,1,1,0,0,0,15.444746107206669
T36870A,2021-02-01,15.85765946,0,1,1,0,0,0,15.444746107206669
T36870A,2021-02-08,14.55681939,0,1,1,0,0,0,15.444746107206669
T36870A,2021-02-15,13.12387409,0,1,1,0,0,0,15.444746107206669
T36870A,2021-02-22,13.40842906,0,1,1,0,0,0,15.444746107206669
T36870A,2021-03-01,18.42452073,0,1,1,0,0,0,15.444746107206669
T36870A,2021-03-08,13.95744717,0,1,1,0,0,0,15.444746107206669
T36870A,2021-03-15,17.07384616,0,1,1,0,0,0,15.444746107206669
T36870A,2021-03-22,20.15753038,0,1,1,0,0,0,15.444746107206669
T36870A,2021-03-29,17.38277677,0,1,1,0,0,0,15.444746107206669
T36870A,2021-04-05,16.94742871,0,1,1,0,0,0,15.444746107206669
T36870A,2021-04-12,16.05887558,0,1,1,0,0,0,15.444746107206669
T36870A,2021-04-19,13.72698309,0,1,1,0,0,0,15.444746107206669
T36870A,2021-04-26,16.14470644,0,1,1,0,0,0,15.444746107206669
T36870A,2021-05-03,15.95658886,0,1,1,0,0,0,15.444746107206669
T36870A,2021-05-10,12.13353098,0,1,1,0,0,0,15.444746107206669
T36870A,2021-05-17,14.1785778,0,1,1,0,0,0,15.444746107206669
T36870A,2021-05-24,13.78008501,0,1,1,0,0,0,15.444746107206669
T36870A,2021-05-31,14.53509253,0,1,1,0,0,0,15.444746107206669
T36870A,2021-06-07,15.95566567,0,1,1,0,0,0,15.444746107206669
T36870A,2021-06-14,14.612092,0,1,1,0,0,0,15.444746107206669
